2.0,"['underdog', 'prison', 'factory worker', 'prisoner', 'helsinki, finland', 'falling in love']","['Drama', 'Comedy', 'Crime']",fi,"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",10.89,['Villealfa Filmproductions'],['Finland'],1988-10-21,['suomi'],,Ariel,6.939,"['Turo Pajala', 'Susanna Haavisto', 'Matti Pellonpää', 'Eetu Hilkamo']",['Aki Kaurismäki']
3.0,"['salesclerk', 'helsinki, finland', 'garbage']","['Drama', 'Comedy', 'Romance']",fi,"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.",7.664,['Villealfa Filmproductions'],['Finland'],1986-10-17,"['svenska', 'suomi', 'English']",,Shadows in Paradise,7.2,"['Matti Pellonpää', 'Kati Outinen', 'Sakari Kuosmanen', 'Esko Nikkari']",['Aki Kaurismäki']
5.0,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']","['Crime', 'Comedy']",en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,16.818,"['Miramax', 'A Band Apart']",['United States of America'],1995-12-09,['English'],"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,5.707,"['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino']",['Allison Anders']
6.0,"['chicago, illinois', 'drug dealer', 'escape', 'one night', 'boxing']","['Action', 'Crime', 'Thriller']",en,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama.",9.926,"['JVC', 'Largo Entertainment']",['United States of America'],1993-10-15,['English'],Don't move. Don't whisper. Don't even breathe.,Judgment Night,6.567,"['Emilio Estevez', 'Cuba Gooding Jr.', 'Denis Leary', 'Stephen Dorff']",['Stephen Hopkins']
8.0,['megacities'],['Documentary'],en,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",2.129,['inLoops'],['Austria'],2006-01-01,"['English', 'हिन्दी', '日本語', 'Pусский', 'Español']",A Megacities remix.,Life in Loops (A Megacities RMX),7.738,[],['Timo Novotny']
9.0,"['sailboat', 'dying and death']",['Drama'],de,,1.14,[],['Germany'],2004-09-02,['Deutsch'],,Sunday in August,7.429,"['Rita Lengyel', 'Milton Welsh']",['Marc Meyer']
11.0,"['android', 'galaxy', 'hermit', 'smuggling (contraband)', 'superhero', 'space', 'rescue mission', 'empire', 'rebellion', 'planet', 'desert', 'super power', 'space opera', 'galactic war', 'wizard', 'totalitarianism', 'speculative fiction']","['Adventure', 'Action', 'Science Fiction']",en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,62.355,"['Lucasfilm Ltd.', '20th Century Fox']",['United States of America'],1977-05-25,['English'],"A long time ago in a galaxy far, far away...",Star Wars,8.207,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing']",['George Lucas']
12.0,"['parent child relationship', 'sydney, australia', 'harbor', 'anthropomorphism', 'underwater', 'shark', 'pelican', 'fish tank', 'great barrier reef', 'sea turtle', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father']","['Animation', 'Family']",en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",74.922,['Pixar'],['United States of America'],2003-05-30,['English'],There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,7.825,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",['Andrew Stanton']
13.0,"['vietnam veteran', 'hippie', 'china', 'washington dc, usa', 'single parent', 'mentally disabled', 'based on novel or book', 'waitress', 'usa president', 'optimism', 'parent child relationship', '1970s', 'autism', 'drug addiction', 'alabama', 'vietnam war', 'john f. kennedy', 'black panther party', 'ping pong', 'bus stop', 'friendship', 'stripper', 'bullying', 'moon landing', 'ronald reagan', 'richard nixon', 'cancer', 'singer', 'family relationships', 'death of lover', 'death', 'illness', 'leg brace', 'physical abuse', 'dying mother', 'ill mother', 'death of mother', 'historical event', 'military', 'disability', 'shrimping', 'anti war protest', 'low iq', 'false history', 'assassination attempt', 'vietnam flashback', 'intellectual disability', '1960s', 'mother son relationship', 'monument valley', 'child sexual abuse', 'dying in arms', 'ptsd', 'elvis presley', 'single mom', 'disabled veteran', 'war rally', 'lyndon b. johnson', 'dick cavett', 'single dad', 'ping pong diplomacy', 'college football', 'slow-witted', 'bob hope', 'neil armstrong', 'gerald ford', 'robert f. kennedy']","['Comedy', 'Drama', 'Romance']",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",60.001,"['Paramount', 'Wendy Finerman Productions', 'The Steve Tisch Company']",['United States of America'],1994-06-23,['English'],The world will never be the same once you've seen it through the eyes of Forrest Gump.,Forrest Gump,8.481,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson']",['Robert Zemeckis']
14.0,"['adultery', 'parent child relationship', 'midlife crisis', 'coming out', 'first time', 'virgin', 'estate agent', 'cheerleader', 'rose', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'love affair', 'exercise', 'extramarital affair', 'quitting a job', 'retired army man', 'closeted homosexual', 'gay', 'teenager']",['Drama'],en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",27.64,"['DreamWorks Pictures', 'Jinks/Cohen Company']",['United States of America'],1999-09-15,['English'],Look closer.,American Beauty,8.0,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",['Sam Mendes']
